,label,tweet,label_id,clean_teks
0,anger,"Soal jln Jatibaru,polisi tdk bs GERTAK gubernur .Emangny polisi tdk ikut pmbhasan? Jgn berpolitik. Pengaturan wilayah,hak gubernur. Persoalan Tn Abang soal turun temurun.Pelik.Perlu kesabaran. [USERNAME] [USERNAME] [URL]",0,jalan jatibarupolisi gertak gubernur emangny polisi pmbhasan politik atur wilayahhak gubernur tn abang turun temurunpelikperlu sabar username username url
1,anger,"Sesama cewe lho (kayaknya), harusnya bisa lebih rasain lah yang harus sibuk jaga diri, rasain sakitnya haid, dan paniknya pulang malem sendirian. Gimana orang asing? Wajarlah banyak korban yang takut curhat, bukan dibela malah dihujat.",0,cewek lho kayak rasain sibuk jaga rasain sakit haid panik pulang malam gimana orang asing wajar korban takut curhat bela hujat
2,happy,"Kepingin gudeg mbarek Bu hj. Amad Foto dari google, sengaja, biar teman-teman jg membayangkannya. Berbagi itu indah.",2,kepingin gudeg mbarek bu hj amad foto google sengaja biar temanteman bayang bagi indah
3,anger,"Jln Jatibaru,bagian dari wilayah Tn Abang.Pengaturan wilayah tgg jwb dan wwnang gub.Tng Abng soal rumit,sejak gub2 , trdahulu.Skrg sedng dibenahi,agr bermnfaat semua pihak.Mohon yg punya otak,berpikirlah dgn wajar,kecuali otaknya butek.Ya kamu. [URL]",0,jalan jatibarubagian wilayah tn abangpengaturan wilayah tgg wwnang gubtng abng rumitsejak gub trdahuluskrg sedng dibenahiagr bermnfaat pihakmohon otakberpikirlah wajarkecuali otak butekya url
4,happy,"Sharing pengalaman aja, kemarin jam 18.00 batalin tiket di stasiun pasar senen, lancar, antrian tidak terlalu rame,15 menitan dan beress semua! Mungkin bisa dicoba twips, di jam-jam segitu  cc [USERNAME]",2,sharing alam kemarin jam batalin tiket stasiun pasar senin lancar antri ramai menit beress coba twips jamjam segitu cc username
5,anger,"Dari sekian banyak thread yang aku baca, thread ini paling aneh sih dalam penulisan. Sumpah aneh bgt, mau ngatain ""lebay"" aja segala bikin thread hadeh. Aku juga ga jago nulis, tapi tulisan aku ga seberantakan thread mbaknya.",0,sekian thread baca thread aneh sih tulis sumpah aneh ngatain lebay bikin thread aduh jago nulis tulis beranta thread mbak
6,happy,Sharing sama temen tuh emg guna bgt. Disaat lu ngerasa masalah lu berat bgt ternyata temen kita sendiri punya masalah lebih berat dr kita. Malah masalah kita ngga ada apa2nya dibanding masalah dia.,2,sharing teman tuh saat berat teman berat apa banding
7,sadness,"Orang lain kalau pake ponco itu buat jas hujan, nah dia pake buat kasur. Ya tadi gara2 saking gak punya apa2. Mamak bilang, kami tuh di awal pernikan gak ada ngalamin bulan madu kayak skrg2. Org tidur nya aja pake ponco. Gimane mau bulan madu.",4,orang pakai ponco jas hujan pakai kasur ya gara saking mamak bilang tuh pernik ngalamin madu orang tidur nya pakai ponco gimane madu
8,anger,"Contoh mereka yg gemar menyudutkan, teriak paling toleran tp gemar menuduh, gemar men-judge seseorang berdasarkan versi mereka. Cukup tau saja.",0,contoh gemar sudut teriak toleran gemar tuduh gemar menjudge dasar versi
9,sadness,Pulang udah H-4 lebaran dilema sekali. Seperti tidak bisa melakukan apa2 dirumah sebelum lebaran. Buka puasa bareng cuman 3 hari sama keluarga begitu juga sahur.,4,pulang h lebaran dilema rumah lebaran buka puasa bareng keluarga sahur
10,anger,"Betul Min rakyat Indonesia sekarang harapan nya tinggal sama TNI saja, kalau yang lain lihat saja, sudah jelas penyerangan ke kantor media, katanya tidak ada unsur pidananya, sudah jelas menghina presiden Indonesia yang sah, cuma lucu lucu an saja, #TNI [URL]",0,min rakyat indonesia harap nya tinggal tni lihat serang kantor media unsur pidana hina presiden indonesia sah lucu lucu an tni url
11,anger,Kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga. Beliin mereka hadiah dsb kan. Kpopers baru ya? Fansite udh ada dr jaman kamera belom sebening skrg!,0,fansite ngejual hasil jepret uang nya lari idol beliin hadiah kpopers ya fansite jaman kamera bening
12,happy,"sangat bersyukur bisa mendoakan kakeknya, Bung Karno, bersama anak-anak yatim piatu. #BulanBungKarno #JuniBulanBungKarno #PenyambungLidahRakyatIndonesia #nomor2untukjatim #jatimpilihgusipulputi #KabehSedulurKabehMakmur [USERNAME] h",2,syukur doa kakek karno anakanak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomoruntukjatim jatimpilihgusipulputi kabehsedulurkabehmakmur username h
13,sadness,Sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orng dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar.,4,sulit terima nyata anggap interaksi orang golong langsung golong ajar utuh klaim
14,anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,0,samanye maling si jancok si anjing si siluman monyet hahahahaha hati maling
15,anger,"Ku juga pengen ngamuk bacain komen2 netizen yg mahabenar. Ya Lord. Ga abis pikir. Komen2 macem gini yg bikin kasus pelecehan seksual akan tenggelam begitu saja. Tidak ada hukuman untuk pelaku. Lebih sedihnya, rerata yg komen jahat adalah perempuan. Mbaq2, kesehatanmu loh! [URL]",0,ku ngamuk bacain komen netizen mahabenar ya lord abis pikir komen macem gin bikin leceh seksual tenggelam hukum laku sedih rerata komen jahat perempuan mbaq sehat loh url
16,love,"Setiap kesempatan yg pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman, kini jadi suatu kehormatan yg pernah didapat",3,sempat hadir tuk buat aman nyaman hormat
17,anger,Sedap kali kau ya bobok dikasur ku. Aku tidur kau ikut tidur. Mau jadi apa kau. *Bacanya pake logat mamak dahlia di Keluarga Badak*,0,sedap kali ya tidur kasur ku tidur tidur baca pakai logat mamak dahlia keluarga badak
18,happy,"H-9. Mau ke bank rame bgt ampe antrian tempat duduknya ada diluar. Toko emas meluber ampe ga keliatan mbak2nya yg jualan. Ke swalayan antrian kasir naudzubilah panjang bener. Pada bahagia semua kayaknya. Semoga oh semoga RS sepi, pasien pada sembuh dan pulang utk berbahagia ",2,h bank ramai ampe antri duduk luar toko emas luber ampe mbak jual swalayan antri kasir naudzubilah bahagia kayak moga oh moga rs sepi pasien sembuh pulang bahagia
19,anger,"Benar2 hancur negara ini dikelola amatiran, tp kenpak [USERNAME] tidak mengindahkan statementnya sendiri? Negara miskin koordinasi, jangan asal gagah2an .. setalah salah dianulir mana marwahmu wahai mr. [USERNAME] presiden? [URL]",0,hancur negara kelola amatir kenpak username indah statementnya negara miskin koordinasi gagah seta salah anulir marwahmu mr username presiden url
20,anger,"Budayakan mencari dan membaca sebelum nanya ya. Udah dijelaskan berkali2 kok. Selama ga diatur/gaada ketentuan khusus, pakai aja",0,budaya cari baca ya kali diaturgaada tentu khusus pakai
21,sadness,"Separuh hati ini iri jika melihat seorang anak yg masih bisa duduk atau berjalan bersama ibundanya, dan separuh hati ini turut berempati melihat seorang anak yg begitu gundah saat ibundanya sakit. Yang sabar ya kawan, semoga Allah memberikan yg terbaik untuk kita semua.",4,paruh hati iri anak duduk jalan ibunda paruh hati empat anak gundah ibunda sakit sabar ya kawan moga allah baik
22,happy,Ketika aku tersenyum bukan berarti hidupku sempurna.. aku hanya mensyukuri apa yang aku punya dan apa yg telah Tuhan berikan untuk ku,2,senyum hidup sempurna syukur tuhan ku
23,sadness,"dari mau tdr, tidur, sampe bgn tdr kok yaa kayak ngerasa aneh.. ga enak hati. udah dibawa istighfar masih aja. bgn tdr kayak sedih, kayak mikir ga puguh. ini knp bgt coba :(",4,tidur tidur bangun tidur yaa aneh enak hati bawa istighfar bangun tidur sedih mikir puguh coba
24,love,kan kupeluk engkau erat2 hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary syg #6nov #31months,3,peluk engkau erat rebut mu peluk ku happy anniversary sayang nov months
25,anger,Kalo mau ganti presiden itu harus jelas siapa calonnya. Terus diadu program kerjanya. Ini koalisi belum ditentuin bisanya cuman buat kaos dan tagar,0,ganti presiden calon adu program kerja koalisi ditentuin bisa kaos tagar
26,happy,"Sukses n keren banget dgn no.1 kualitas,bhn krja,itu cita2 pu agar warisan ampe ke cu2,sukses tims bbpjn6 barokah terlimpahkan",2,sukses n keren no kualitasbhn krjaitu cita pu waris ampe cusukses tims bbpjn barokah limpah
27,anger,"Udah mau sarjana 2 kali, mbokya mulut nya jangan ketinggalan buat belajar. Sekiranya itu ga perlu diungkapkan, nambah dosa + nyakitin hati orangnya mending diem2 bae lah. Kasian anda nya yg di julidin sm orang.",0,sarjana kali mbokya mulut nya tinggal ajar dosa sakit hati orang mending diam kasihan nya julidin orang
28,anger,Gimana orang ga nilai dr jilbab/syari/nggak nya. Kadang gemez sm orang yg dikelas diem2 bae eh di grup WA bisanya dia nyeletuk mengarah ke social harassment.,0,gimana orang nilai jilbabsyaringgak nya kadang gemez orang kelas diam eh grup bisa nyeletuk arah social harassment
29,fear,Hari ini jadwal presentasi proker di LPPM karna ada praktikum jadinya pak ketua di temani sekretaris 1. Tapi selaku penanggung jawab ada di sekretaris 2 jadi deg deg an ini. Bismillah pak ketua (Btw pen Upload foto pak ketua tapi jangan dulu yaa) ,1,jadwal presentasi proker lppm praktikum ketua teman sekretaris tanggung sekretaris deg deg an bismillah ketua pen upload foto ketua yaa
30,anger,Foto saya di instagram masih ada cuma lupa password instanya jadi ngga bisa di buka !! ini pasti salah pemerintah dan instagram kenapa sampai pakai password segala !! Tuh sampai lupa khan gw #begoloe ,0,foto instagram lupa password instanya buka salah perintah instagram pakai password tuh lupa begoloe
31,fear,Drama kmarin sore : seharian puasa trus pas lg mandi kaget bcz kedatangan tamu tak diundang pas bgt woi pas lagi adzan maghrib trus jd galau dong seharian itu dianggap sah puasa apa enggak-_-,1,drama kmarin sore hari puasa pas mandi kaget bcz datang tamu undang pas woi pas adzan maghrib galau hari anggap sah puasa enggak
32,sadness,Sungguh mencintaimu berat sekali. Berpisah denganmu apalagi. #HadiahPerasaan - [USERNAME] Selalu bikin baper tp sukses melupakan laper. [URL],4,sungguh cinta berat pisah dengan hadiahperasaan username bikin baper sukses lupa lapar url
33,anger,"4. pas uda dikirim kembali, si kurir telp ngeluh dan mager buat nganter ke alamat yg bener. malah minta ketemuan di titik yg dia tau itupun dia gamau susah (no puter balik, hrs searah sama arah kendaraan dia jalan)",0,pas kirim si kurir telepon keluh malas gerak alamat ketemu titik itu susah no putar arah arah kendara jalan
34,happy,"Pada akhirnya kita akan melewati semua ini, semua yang dulu kita bayangkan betapa sulitnya. Kita lalui juga. Di akhir kita hanya bisa belajar, belajar, dan belajar. Memetik semua hikmah yang bisa kita petik. Mempersiapkan untuk kedepan.",2,lewat bayang betapa sulit lalu ajar ajar ajar petik hikmah petik depan
35,love,"Kenapa pasangan seringkali diibaratkan sebagai ""rumah""? Karena rasa nyaman bersamanya senyaman berada di rumah, kamu bisa jadi apa saja, kamu selalu pulang menujunya ",3,pasang seringkali rumah nyaman sama nyaman rumah pulang tuju
